"","TRAF4","CDH1","CDH2","VIM","FN1","ZEB1","ZEB2","SNAI1","SNAI2","SNAI3","TWIST1","TWIST2"
"TCGA.G4.6294.01A.11R.1774.07",-0.448329727508321,0.428149066057938,-0.510528628583325,-0.774524397647393,-0.609440500416224,0.238301486994395,-0.597319752999844,-0.948637489923445,-0.0323645007655484,-0.922212080933376,-0.644843199851212,-0.786956997387944
"TCGA.AD.6901.01A.11R.1928.07",-0.427823223204225,0.0144629243982627,0.21861137906888,1.16686587704786,0.263089255949741,0.16641907385294,0.597597211730292,0.191074230502559,0.381249004310328,0.0309208216684697,0.623331522516274,1.7391258810976
"TCGA.D5.6536.01A.11R.1723.07",-0.425958788950412,-0.649772327107969,0.612003635695915,0.341486381753389,0.711702511156821,-0.520392313872543,0.189850498324948,0.661106443385169,0.296964195060809,-0.878027814908038,-0.278863925830499,1.69641838105649
"TCGA.G4.6323.01A.11R.1723.07",-0.424701535045121,0.0347554723231829,-0.469876236922827,-0.711359649031889,-0.652704227406896,-0.51651689942715,-0.600098485027604,-1.38936029590923,-0.655978142758674,0.904092144457974,-0.754573383452248,-0.616018113618783
"TCGA.F4.6808.01A.11R.1839.07",-0.420397443049419,0.0861657727766941,-0.567779090285815,-0.681952102042747,-0.627816444869983,-0.688227422618034,-0.765803966897189,0.0565601738452566,-0.621446527149957,-0.829348164699701,-0.562562359596247,-0.319109274835257
"TCGA.D5.6923.01A.11R.A32Z.07",-0.402015856919416,0.193506875873901,0.454780119845665,0.677735578448796,0.136175150387063,0.578446141324882,0.804596346745237,2.11011906382035,2.33854584340043,-0.778932988366406,1.0281824030353,3.1362197890907
"TCGA.AZ.6603.01A.11R.1839.07",-0.401950096802137,1.67360469646055,-0.363786680456426,-0.0962104387850242,0.426287750379378,0.327180235305387,0.308207320645497,-0.165429835200099,0.314011037400985,-0.658401495100888,-0.171047492607505,-0.160172714572451
"TCGA.D5.5538.01A.01R.1653.07",-0.374113966985563,0.0237976693027189,0.212317262932908,0.647432215306462,0.338143131001599,-0.0312251437972241,0.867600795582793,-0.380343110783715,0.55631272108447,0.298828735233277,-0.0928640706861574,-0.367947759389031
"TCGA.CK.4950.01A.01R.1723.07",-0.369740848171293,0.0270760618616882,-0.421654673643009,-0.0335994066766046,-0.528660475192666,-0.435473967165835,-0.188753249354183,-0.496873175065769,-0.0351557307219869,0.63405595573687,-0.434642279847501,-0.471847845290175
"TCGA.AA.3660.01A.01R.1723.07",-0.368307050365835,-0.311674588607882,-0.482715010539746,-0.467644194262003,-0.570916350397661,-0.45223535396386,-0.263172043928962,-0.61415151780436,-0.207367264974774,-0.0667144645540075,-0.387773930698088,-0.217194220805018
